offset, tA, tB
11, 0.02859, 0.06543
12, 0.02878, 0.06206
13, 0.03024, 0.0587
14, 0.03208, 0.05534
16, 0.03519, 0.05422
17, 0.03611, 0.04772
19, 0.04179, 0.0457
20, 0.04399, 0.04458
21, 0.04601, 0.04369
23, 0.04033, 0.0401
24, 0.04212, 0.03965
25, 0.04323, 0.03764
27, 0.0457, 0.0345
28, 0.04369, 0.03226
29, 0.0457, 0.03159
30, 0.04481, 0.03047
31, 0.04615, 0.02756
32, 0.04548, 0.02621
33, 0.0466, 0.02666
35, 0.04684, 0.02145
36, 0.04991, 0.01943
38, 0.05475, 0.01833
